sp,mating system,weights_poly,M_mass,F_mass,overallmol,dnmito,dsmito,dndsmito,sprich
Dromaius,poly,0.25,32700,38300,0.046135,0.039898551,0.192782601,0.206961369,4
Biziura,poly,1,2398,1551,0.037119,0.04944446,0.137266103,0.36020881,1
Cairina,poly,0.5,3000,1250,0.094324,0.035453712,0.127375774,0.278339523,2
Alectura,poly,0.333333333,2450,2210,0.017688,0.043808325,0.118285259,0.370361661,3
Penelopina,poly,0.041666667,890,890,0.070066,0.06182307,0.106807425,0.578827451,24
Threskiornis,poly,0.117647059,1806.975,1558.1,0.091852,0.057105758,0.149273028,0.382559115,34
Vanellus,poly,0.130434783,136.7,130.65,0.038086,0.01116581,0.159822961,0.069863615,23
Pedionomus,poly,1,54,72.4,0.091274,0.079195606,0.186901255,0.423729665,1
Calidris,poly,0.75,60.18888889,56.38888889,0.061884,0.049609414,0.133599823,0.371328442,24
Larus,poly,0.239130435,875.7181818,705.8363636,4.00E-06,0.016218161,0.082194261,0.197315005,46
Circus,poly,0.285714286,429.875,580.75,0.044802,0.052303492,0.141593454,0.369392019,14
Buteo,poly,0.125,541.6428571,660.0285714,0.057147,0.028361084,0.103916847,0.272920948,56
Polytelis,poly,1,141.2666667,149.8333333,0.028463,0.209296633,0.174830267,1.197141869,3
Myiobius,poly,0.2,12,11.4,0.017354,0.07745906,0.183195065,0.422822855,5
Mionectes,poly,0.029126214,8,NA,0.043842,0.178260747,0.238313677,0.748008882,103
Ptilonorhynchus,poly,0.375,157.8333333,153.5,0.078094,0.08733693,0.191024447,0.457202895,16
Lichenostomus,poly,0.6,24.00833333,21.025,0.099919,0.03873781,0.146399209,0.264603958,20
Vireo,poly,0.709677419,13.54,13.36666667,0.037983,0.050257124,0.122227453,0.411177051,31
Epimachus,poly,0.411764706,154.5916667,124.7416667,0.018729,0.073068107,0.20344704,0.359150504,34
Hirundo,poly,0.121212121,17.33333333,17.53333333,0.05196,0.084820874,0.170783823,0.496656372,33
Tachycineta,poly,0.111111111,21.7,20.7,0.061713,0.06770015,0.145136131,0.466459656,9
Sylvia,poly,0.039215686,16.35,16.2,0.048397,0.127627038,0.215231429,0.592975845,51
Troglodytes,poly,0.266666667,9.95,9.225,0.063401,0.047424427,0.121723659,0.389607305,15
Sturnus,poly,0.125,81.15,72.6,0.003617,0.040719695,0.13429639,0.303207666,16
Oenanthe,poly,0.024390244,24.1,23.8,0.022534,0.04787134,0.132940476,0.36009605,41
Euplectes,poly,0.058823529,25.5,20.7,4.00E-06,0.033923718,0.144672936,0.234485588,17
Lonchura,poly,0.170731707,11.975,11.975,0.041553,0.056102906,0.140895919,0.398186875,41
Calcarius,poly,1,24.525,23.075,0.030144,0.025444139,0.116791341,0.217859809,4
Myioborus,poly,0.125,9.35,9.45,0.05054,0.026878505,0.100248698,0.268118243,16
Spizella,poly,0.857142857,12.61666667,12.65,0.025991,0.048084901,0.113789705,0.422576903,7
Zonotrichia,poly,1,29.4,27.64,0.096385,0.01748299,0.081133261,0.215484861,5
Agelaius,poly,0.4,62.4,42.55,0.033326,0.014111232,0.113529412,0.124295826,5
Passerina,poly,0.222222222,22.35,20.425,4.00E-06,0.043020196,0.141474075,0.304085369,18
Apteryx,mono,0.75,1984.333333,2385.333333,0.017488,0.104450309,0.184196587,0.567058873,4
Stictonetta,mono,0.5,969,842,0.104085,0.049538609,0.144844622,0.342012067,2
Aythya,mono,0.4,794.5,743.2833333,0.041587,0.024551211,0.109047138,0.225143103,15
Leipoa,mono,1,2040,1830,0.022612,0.088817472,0.200021027,0.444040676,1
Crax,mono,0.115384615,1735.666667,1537.333333,0.064534,0.066734423,0.141075351,0.473040987,26
Ardea,mono,0.193548387,713.2444444,772.27,0.106649,0.079651897,0.178054682,0.44734514,62
Charadrius,mono,0.40625,69.31666667,67.99166667,0.070918,0.027981671,0.134929137,0.207380494,32
Attagis,mono,0.5,222.5,218,0.070952,0.11400665,0.165731353,0.687900316,4
Arenaria,mono,0.5,108,113,0.085797,0.057738021,0.118564363,0.486976179,2
Rissa,mono,0.25,443,393,0.01736,0.013130603,0.070727299,0.185651133,4
Accipiter,mono,0.094339623,335.4,586,0.053207,0.060219949,0.126097745,0.477565627,53
Haliaeetus,mono,0.285714286,1182.5,1467.25,0.017485,0.056152119,0.137893041,0.407215033,14
Alisterus,mono,0.333333333,221.5,242.9,0.099614,0.176313052,0.145796113,1.209312426,3
Onychorhynchus,mono,0.25,18.6,15.1,0.025759,0.099300135,0.219625383,0.452134146,4
Colonia,mono,0.118971061,24.6969697,23.584375,0.062805,0.115489469,0.258443134,0.446866077,311
Ailuroedus,mono,0.666666667,214,197,0.067181,0.169882713,0.239303155,0.709905862,3
Manorina,mono,0.4,57.42,47.46,0.06932,0.067117926,0.179539733,0.373833274,15
Hylophilus,mono,0.133333333,9.5,9.5,0.030764,0.075833879,0.143246143,0.529395605,15
Manucodia,mono,0.333333333,205.5,157.5,0.010212,0.120106139,0.191187316,0.628211856,6
Petrochelidon,mono,0.666666667,498.445,411.99,0.078539,0.056335695,0.140051811,0.402248956,3
Riparia,mono,0.25,12.7,13.6,0.064597,0.051715431,0.153595452,0.336698976,4
Zosterops,mono,0.007731959,11.83333333,11.8,0.099269,0.12909064,0.23428973,0.550987189,388
Thryothorus,mono,0.024390244,20.3,18.3,0.096634,0.062831528,0.1519995,0.413366676,41
Acridotheres,mono,0.142857143,126.8,114.3,0.011194,0.041724405,0.131147691,0.318148222,7
Saxicola,mono,0.272727273,15.06666667,15.6,0.009463,0.033566363,0.112402101,0.298627542,11
Quelea,mono,0.111111111,176.2,282.4,0.035126,0.040067161,0.150516676,0.26619749,9
Taeniopygia,mono,0.6,11.53333333,11.8,0.103449,0.060304771,0.107282812,0.562110279,10
Plectrophenax,mono,0.5,38.7,36,0.043927,0.029574512,0.116388925,0.254100741,2
Basileuterus,mono,0.2,13.275,13.275,0.066755,0.022988414,0.094436141,0.243428134,25
Amphispiza,mono,0.5,14.1,13.4,0.108864,0.051011014,0.163555459,0.311888177,2
Junco,mono,0.25,18.9,19.2,0.057986,0.03013897,0.087356385,0.345011646,4
Molothrus,mono,0.333333333,43.75,35.85,0.085778,0.031879046,0.09095896,0.350477247,6
Pheucticus,mono,0.333333333,44.85,46.9,0.074013,0.053372864,0.136838622,0.390042398,6
