"","sp","mating.system","weights_poly","M_mass","F_mass","overallmol","dnmito","dsmito","dndsmito","sprich","bea12","bea3"
"Dromaius","Dromaius","poly",0.25,32700,38300,0.046135,0.039898551,0.192782601,0.206961369,4,0.00361200787820753,0.930034475968971
"Biziura","Biziura","poly",1,2398,1551,0.037119,0.04944446,0.137266103,0.36020881,1,0.00411433621573844,0.91327268927761
"Cairina","Cairina","poly",0.5,3000,1250,0.094324,0.035453712,0.127375774,0.278339523,2,0.00348548448981746,0.907271806009421
"Alectura","Alectura","poly",0.333333333,2450,2210,0.017688,0.043808325,0.118285259,0.370361661,3,0.00363784329291088,0.824209840365003
"Penelopina","Penelopina","poly",0.041666667,890,890,0.070066,0.06182307,0.106807425,0.578827451,24,0.00390878607783334,0.878713374490516
"Threskiornis","Threskiornis","poly",0.117647059,1806.975,1558.1,0.091852,0.057105758,0.149273028,0.382559115,34,0.00316728778597753,0.871455899098269
"Vanellus","Vanellus","poly",0.130434783,136.7,130.65,0.038086,0.01116581,0.159822961,0.069863615,23,0.00267046665058568,0.825371500998901
"Pedionomus","Pedionomus","poly",1,54,72.4,0.091274,0.079195606,0.186901255,0.423729665,1,0.00459770448140664,0.943890659366587
"Calidris","Calidris","poly",0.75,60.18888889,56.38888889,0.061884,0.049609414,0.133599823,0.371328442,24,0.00325392897381963,0.874168483194244
"Larus","Larus","poly",0.239130435,875.7181818,705.8363636,4e-06,0.016218161,0.082194261,0.197315005,46,0.00311351714055763,0.854580285700948
"Circus","Circus","poly",0.285714286,429.875,580.75,0.044802,0.052303492,0.141593454,0.369392019,14,0.00448052347366948,0.897795158897749
"Buteo","Buteo","poly",0.125,541.6428571,660.0285714,0.057147,0.028361084,0.103916847,0.272920948,56,0.00308780792906477,0.840328905301768
"Polytelis","Polytelis","poly",1,141.2666667,149.8333333,0.028463,0.209296633,0.174830267,1.197141869,3,0.00475742910378706,0.874348753311266
"Myiobius","Myiobius","poly",0.2,12,11.4,0.017354,0.07745906,0.183195065,0.422822855,5,0.00419793839446303,0.880919258980377
"Ptilonorhynchus","Ptilonorhynchus","poly",0.375,157.8333333,153.5,0.078094,0.08733693,0.191024447,0.457202895,16,0.00466374487120909,0.831157201606219
"Lichenostomus","Lichenostomus","poly",0.6,24.00833333,21.025,0.099919,0.03873781,0.146399209,0.264603958,20,0.00294760643125224,0.845148083432308
"Vireo","Vireo","poly",0.709677419,13.54,13.36666667,0.037983,0.050257124,0.122227453,0.411177051,31,0.00302371888444298,0.896530475763028
"Epimachus","Epimachus","poly",0.411764706,154.5916667,124.7416667,0.018729,0.073068107,0.20344704,0.359150504,34,0.00422701068667148,0.868896280496714
"Hirundo","Hirundo","poly",0.121212121,17.33333333,17.53333333,0.05196,0.084820874,0.170783823,0.496656372,33,0.00502898586871723,0.915061906764405
"Tachycineta","Tachycineta","poly",0.111111111,21.7,20.7,0.061713,0.06770015,0.145136131,0.466459656,9,0.00453379703367781,0.937841943002058
"Sylvia","Sylvia","poly",0.039215686,16.35,16.2,0.048397,0.127627038,0.215231429,0.592975845,51,0.00553409550688339,0.85180225057701
"Troglodytes","Troglodytes","poly",0.266666667,9.95,9.225,0.063401,0.047424427,0.121723659,0.389607305,15,0.00348320469058249,0.867436664107308
"Sturnus","Sturnus","poly",0.125,81.15,72.6,0.003617,0.040719695,0.13429639,0.303207666,16,0.00319428037924233,0.885277186687418
"Oenanthe","Oenanthe","poly",0.024390244,24.1,23.8,0.022534,0.04787134,0.132940476,0.36009605,41,0.00392326700108965,0.873798207410114
"Euplectes","Euplectes","poly",0.058823529,25.5,20.7,4e-06,0.033923718,0.144672936,0.234485588,17,0.00337028876484989,0.919863609555872
"Lonchura","Lonchura","poly",0.170731707,11.975,11.975,0.041553,0.056102906,0.140895919,0.398186875,41,0.00394247719968949,0.911671959704812
"Calcarius","Calcarius","poly",1,24.525,23.075,0.030144,0.025444139,0.116791341,0.217859809,4,0.00363326461015591,0.875372874861352
"Myioborus","Myioborus","poly",0.125,9.35,9.45,0.05054,0.026878505,0.100248698,0.268118243,16,0.00311097732232145,0.904465067797799
"Spizella","Spizella","poly",0.857142857,12.61666667,12.65,0.025991,0.048084901,0.113789705,0.422576903,7,0.00334136492807247,0.921563816090078
"Zonotrichia","Zonotrichia","poly",1,29.4,27.64,0.096385,0.01748299,0.081133261,0.215484861,5,0.00288106343349687,0.902143140222985
