"","specs_poly","specs_mono","weights_poly","weights_mono","M_mass_poly","M_mass_mono","F_mass_poly","F_mass_mono","overallmol_poly","overallmol_mono","dnmito_poly","dnmito_mono","dsmito_poly","dsmito_mono","dndsmito_poly","dndsmito_mono","sprich_poly","sprich_mono","bea12_poly","bea12_mono","bea3_poly","bea3_mono","nprsds_poly","nprsds_mono","nprsdn_poly","nprsdn_mono","mplds_poly","mplds_mono","mpldn_poly","mpldn_mono"
"1","Dromaius","Apteryx",0.25,0.75,32700,1984.333333,38300,2385.333333,0.046135,0.017488,0.039898551,0.104450309,0.192782601,0.184196587,0.206961369,0.567058873,4,4,0.00361200787820753,0.00560396762962266,0.930034475968971,0.854438537824093,-1.42172628975753,-1.46728583210078,-2.59731360991836,-1.63494217265246,0.0225203346208594,-0.0230392077223897,-0.592745819413748,0.369625617852155
"2","Biziura","Stictonetta",1,0.5,2398,969,1551,842,0.037119,0.104085,0.04944446,0.049538609,0.137266103,0.144844622,0.36020881,0.342012067,1,2,0.00411433621573844,0.00369115850200783,0.91327268927761,0.865793984193583,-0.0742781836811009,-0.0205379897754649,-1.81455282403355,-1.81265050003284,-0.0272310545757196,0.0265091393299163,-0.00095161435486653,0.00095070964585213
"3","Cairina","Aythya",0.5,0.4,3000,794.5,1250,743.2833333,0.094324,0.041587,0.035453712,0.024551211,0.127375774,0.109047138,0.278339523,0.225143103,2,15,0.00348548448981746,0.00271606549522082,0.907271806009421,0.879926659662864,-0.451729119227131,-0.607090438246267,-2.22157585386636,-2.58904263302911,0.0746665465876354,-0.0806947724315001,0.166948530769215,-0.200518248393535
"4","Alectura","Leipoa",0.333333333,1,2450,2040,2210,1830,0.017688,0.022612,0.043808325,0.088817472,0.118285259,0.200021027,0.370361661,0.444040676,3,1,0.00363784329291088,0.00536881728541913,0.824209840365003,0.902727750977169,-0.409331077045912,0.115992265832116,-1.90094235726501,-1.19418283382254,-0.296767747885458,0.228555594992571,-0.414560560549022,0.292198962893449
"5","Penelopina","Crax",0.041666667,0.115384615,890,1735.666667,890,1537.333333,0.070066,0.064534,0.06182307,0.066734423,0.106807425,0.141075351,0.578827451,0.473040987,24,26,0.00390878607783334,0.00473366076782858,0.878713374490516,0.844727301275535,-0.427266290498662,-0.148999591476878,-1.56408687954186,-1.48764256303386,-0.148781326278903,0.129485372742881,-0.0389524471535247,0.0374918693544673
"6","Threskiornis","Ardea",0.117647059,0.193548387,1806.975,713.2444444,1558.1,772.27,0.091852,0.106649,0.057105758,0.079651897,0.149273028,0.178054682,0.382559115,0.44734514,34,62,0.00316728778597753,0.00283538638301302,0.871455899098269,0.833693209220315,-1.29186214238874,-1.11554847017927,-2.30056043966085,-1.96779953588137,-0.092037627203967,0.0842760450055034,-0.180158286903105,0.152602616876371
"7","Vanellus","Charadrius",0.130434783,0.40625,136.7,69.31666667,130.65,67.99166667,0.038086,0.070918,0.01116581,0.027981671,0.159822961,0.134929137,0.069863615,0.207380494,23,32,0.00267046665058568,0.00283729234816711,0.825371500998901,0.838057175937043,-0.925625415293087,-1.09494239619979,-3.38030325219073,-2.4616099823385,0.0810792328495363,-0.0882377480571637,-0.56133247528782,0.357360794564408
"8","Pedionomus","Attagis",1,0.5,54,222.5,72.4,218,0.091274,0.070952,0.079195606,0.11400665,0.186901255,0.165731353,0.423729665,0.687900316,1,4,0.00459770448140664,0.0055459625299778,0.943890659366587,0.923711422161128,0.477638529700285,0.357426225232446,-0.506239916874992,-0.141903953315736,0.0583008640822966,-0.0619114403855418,-0.198669601285174,0.165666362274081
"9","Calidris","Arenaria",0.75,0.5,60.18888889,108,56.38888889,113,0.061884,0.085797,0.049609414,0.057738021,0.133599823,0.118564363,0.371328442,0.486976179,24,2,0.00325392897381963,0.00362724686639145,0.874168483194244,0.778484339679236,0.225038118570115,0.105645140005956,-1.24783400511639,-1.09609873563194,0.0579157111736199,-0.0614772673905392,-0.0787428271097064,0.0729924423747429
"10","Larus","Rissa",0.239130435,0.25,875.7181818,443,705.8363636,393,4e-06,0.01736,0.016218161,0.013130603,0.082194261,0.070727299,0.197315005,0.185651133,46,4,0.00311351714055763,0.00311750780249221,0.854580285700948,0.852704739976609,-1.91933040815858,-2.06958427230038,-2.65470794345147,-2.8658939863906,0.0723075547350651,-0.0779463094067292,0.100028407675331,-0.111157635263797
