"","sp","mating.system","weights_poly","M_mass","F_mass","dnnuc","dsnuc","dndsnuc","sprich","bea12","bea3","nprsds","nprsdn","mplds","mpldn"
"Phaethornis","Phaethornis","poly",0.0179640718562874,275.516666666667,317.55,0.0763044515114287,0.141648111538369,0.538690213958553,334,0.00111595956218071,0.770434415265248,0.281299821738292,0.124513186709005,0.887261562956987,1.03887351622925
"Vanellus","Vanellus","poly",0.130434782608696,136.7,130.65,0.0090466172026285,0.0271334122856055,0.333412440256466,23,0.000165180917851368,0.7267893466136,0.0544435913980303,0.0157544194532888,1.02434751059879,1.09525551675188
"Pedionomus","Pedionomus","poly",1,54,72.4,0.0162731293716051,0.0626086233242619,0.259918338841656,1,0.00038270652621794,0.893381979715741,0.236099178621708,0.0700255435938646,1.0166333788975,0.859314686302103
"Calidris","Calidris","poly",0.708333333333333,60.4470588235294,56.1529411764706,0.00998696476865946,0.0390149937114873,0.255977608057873,24,0.000281010641714905,0.88179961184534,0.173348111046226,0.0261604764926256,1.20094936998999,0.999221372378632
"Scolopax","Scolopax","poly",0.115384615384615,115.166666666667,137.333333333333,0.0182390214748702,0.0592724057583675,0.307715221636594,26,0.000231172287988503,0.901904082349011,0.294519133912881,0.110208064688938,1.3843414023479,1.44520412445163
"Buteo","Buteo","poly",0.107142857142857,554.416666666667,677.7,0.00687862114262613,0.0239075724942185,0.287717255454922,56,0.000140332721630539,0.796163209018539,0.0602720476291363,0.0168158486988107,1.28914245782343,1.53371119149921
"Myiobius","Myiobius","poly",0.2,12,NA,0.0212008871470574,0.0455709003655433,0.465228621269191,5,0.000487542470082567,0.835079772112135,0.150175493434521,0.0732933007646775,1.04819056331366,1.24555312817848
"Mionectes","Mionectes","poly",0.029126213592233,8,NA,0.00315014271459737,0.0580713832035025,0.0542460423847348,103,0.000393469300282055,0.8067285564353,0.21051366774988,0.00944518440519693,0.995604725447888,0.373315502156528
"Ptilonorhynchus","Ptilonorhynchus","poly",0.375,NA,NA,0.00424846828106256,0.0359388871763452,0.11821368480933,16,0.000186281709243927,0.815980563480975,0.06770751546734,0.050152166550826,1.10603102325478,0.506843654067327
"Lichenostomus","Lichenostomus","poly",0.6,24.0083333333333,21.025,0.00762166132414736,0.0151007376176427,0.504721128009184,20,0.000114948288451676,0.782934100959056,0.0401230273276685,0.0123664173258894,1.71444084810302,1.600538118853
