"","specs_poly","specs_mono","weights_poly","weights_mono","M_mass_poly","M_mass_mono","F_mass_poly","F_mass_mono","Clutch_size_poly","Clutch_size_mono","Egg_mass_poly","Egg_mass_mono","Mating_System_poly","Mating_System_mono","dnnuc_poly","dnnuc_mono","dsnuc_poly","dsnuc_mono","dndsnuc_poly","dndsnuc_mono","sprich_poly","sprich_mono","overallmol_poly","overallmol_mono","nprsds_mono","nprsds_poly","nprsdn_poly","nprsdn_mono","mplds_poly","mpldn_mono","mpldn_poly","mplds_mono"
"1","Phaethornis","Apus",0.0179640718562874,0.0186915887850467,275.516666666667,39,317.55,40.3,1.995,3.035,0.643333333333333,2.71,4.5,2,0.0763044515114287,0.0705939924654417,0.141648111538369,0.177644682046189,0.538690213958553,0.39738871804272,334,107,0.097692,0.091573,0.352785623822543,0.281299821738292,0.124513186709005,0.115194890865143,0.887261562956987,0.961126483770746,1.03887351622925,1.11273843704301
"2","Vanellus","Charadrius",0.130434782608696,0.375,136.7,68.3454545454545,130.65,66.1545454545455,3.79666666666667,3.00333333333333,18.3966666666667,13.4571428571429,3,2,0.0090466172026285,0.00747302970032868,0.0271334122856055,0.0258435550128157,0.333412440256466,0.289164153175631,23,32,0.038086,0.070918,0.0518554737819204,0.0544435913980303,0.0157544194532888,0.0130140628092073,1.02434751059879,0.904744483248117,1.09525551675188,0.975652489401214
"3","Pedionomus","Attagis",1,0.5,54,222.5,72.4,125,3.6,NA,10,15.5,1,2,0.0162731293716051,0.0216015389681935,0.0626086233242619,0.0605599143685664,0.259918338841656,0.356696986668887,1,4,0.091274,0.070952,0.22837342973933,0.236099178621708,0.0700255435938646,0.0929544326828267,1.0166333788975,1.1406853136979,0.859314686302103,0.983366621102503
"4","Calidris","Arenaria",0.708333333333333,0.5,60.4470588235294,108,56.1529411764706,113,3.936,4,11.2411764705882,17.9,2.58823529411765,2,0.00998696476865946,0.0100025291407545,0.0390149937114873,0.0259585924969179,0.255977608057873,0.385326328534265,24,2,0.061884,0.085797,0.115337016533583,0.173348111046226,0.0261604764926256,0.0262012467766655,1.20094936998999,1.00077862762137,0.999221372378632,0.799050630010009
"5","Scolopax","Limnodromus",0.115384615384615,0.666666666666667,115.166666666667,105.5,137.333333333333,112.5,2.66,3.94,18.9333333333333,17.5,3.33333333333333,2,0.0182390214748702,0.00700173333101684,0.0592724057583675,0.0263602360998316,0.307715221636594,0.265617246541338,26,3,0.097124,0.01005,0.13098158926619,0.294519133912881,0.110208064688938,0.0423075043221248,1.3843414023479,0.554795875548365,1.44520412445163,0.615658597652098
"6","Buteo","Haliaeetus",0.107142857142857,0.285714285714286,554.416666666667,1182.5,677.7,1467.25,3.026,4.975,45.3333333333333,68.375,1.83333333333333,2,0.00687862114262613,0.00209128294459935,0.0239075724942185,0.0131830878112123,0.287717255454922,0.158633771886182,56,14,0.057147,0.017485,0.033235147426558,0.0602720476291363,0.0168158486988107,0.00511246321808036,1.28914245782343,0.466288808500787,1.53371119149921,0.710857542176571
"7","Myiobius","Onychorhynchus",0.2,0.25,12,18.6,NA,15.1,NA,NA,NA,NA,5,2,0.0212008871470574,0.0128416384866133,0.0455709003655433,0.0413806558886542,0.465228621269191,0.31032950567935,5,4,0.017354,0.025759,0.136366856192763,0.150175493434521,0.0732933007646775,0.0443946550624061,1.04819056331366,0.754446871821518,1.24555312817848,0.95180943668634
"8","Mionectes","Colonia",0.029126213592233,0.115755627009646,8,25.3478260869565,NA,25.1222222222222,NA,3.67708333333333,NA,2.76380952380952,5,2,0.00315014271459737,0.0137264278880161,0.0580713832035025,0.05858411615118,0.0542460423847348,0.234302892828393,103,311,0.043842,0.062805,0.212372367981172,0.21051366774988,0.00944518440519693,0.041156434604113,0.995604725447888,1.62668449784347,0.373315502156528,1.00439527455211
"9","Ptilonorhynchus","Ailuroedus",0.375,0.666666666666667,NA,NA,NA,NA,NA,NA,16.6833333333333,18.45,5,2,0.00424846828106256,0.0125159451508484,0.0359388871763452,0.0290482360068466,0.11821368480933,0.430867648827226,16,3,0.078094,0.067181,0.0547257871141608,0.06770751546734,0.050152166550826,0.147747782075793,1.10603102325478,1.49315634593267,0.506843654067327,0.893968976745215
"10","Lichenostomus","Manorina",0.6,0.4,24.0083333333333,50.3,21.025,45.1666666666667,2.1125,2.65,2.60833333333333,5.28,2.16666666666667,2,0.00762166132414736,0.00190221222109418,0.0151007376176427,0.00251519545389053,0.504721128009184,0.756288032467545,20,15,0.099919,0.06932,0.00668293552845869,0.0401230273276685,0.0123664173258894,0.0030864071713511,1.71444084810302,0.399461881147003,1.600538118853,0.285559151896983
